,beta,edge_num,gamma,max_lambda,node_num
56,0.092626953,250,0.7,10.27621596,50
57,0.105859375,250,0.8,10.27621596,50
58,0.127001953,250,0.9,10.27621596,50
59,0.130371094,250,1,10.27621596,50
60,0.013671875,250,0.1,10.23208903,50
61,0.024609375,250,0.2,10.23208903,50
62,0.041308594,250,0.3,10.23208903,50
63,0.053515625,250,0.4,10.23208903,50
64,0.068847656,250,0.5,10.23208903,50
65,0.082324219,250,0.6,10.23208903,50
66,0.094677734,250,0.7,10.23208903,50
67,0.109765625,250,0.8,10.23208903,50
68,0.119970703,250,0.9,10.23208903,50
69,0.124511719,250,1,10.23208903,50
70,0.014453125,250,0.1,10.22660798,50
71,0.026171875,250,0.2,10.22660798,50
72,0.039550781,250,0.3,10.22660798,50
73,0.052734375,250,0.4,10.22660798,50
74,0.066894531,250,0.5,10.22660798,50
75,0.078222656,250,0.6,10.22660798,50
76,0.091943359,250,0.7,10.22660798,50
77,0.099609375,250,0.8,10.22660798,50
78,0.121728516,250,0.9,10.22660798,50
79,0.131347656,250,1,10.22660798,50
80,0.013671875,250,0.1,10.26629188,50
81,0.025390625,250,0.2,10.26629188,50
82,0.038378906,250,0.3,10.26629188,50
83,0.053515625,250,0.4,10.26629188,50
84,0.066894531,250,0.5,10.26629188,50
85,0.078808594,250,0.6,10.26629188,50
86,0.087158203,250,0.7,10.26629188,50
87,0.108203125,250,0.8,10.26629188,50
88,0.128759766,250,0.9,10.26629188,50
89,0.133300781,250,1,10.26629188,50
90,0.013671875,250,0.1,10.23322298,50
91,0.026953125,250,0.2,10.23322298,50
92,0.040136719,250,0.3,10.23322298,50
93,0.056640625,250,0.4,10.23322298,50
94,0.067871094,250,0.5,10.23322298,50
95,0.079394531,250,0.6,10.23322298,50
96,0.093310547,250,0.7,10.23322298,50
97,0.106640625,250,0.8,10.23322298,50
98,0.115576172,250,0.9,10.23322298,50
99,0.131347656,250,1,10.23322298,50
100,0.013671875,250,0.1,10.25027016,50
101,0.026171875,250,0.2,10.25027016,50
102,0.038964844,250,0.3,10.25027016,50
103,0.052734375,250,0.4,10.25027016,50
104,0.067871094,250,0.5,10.25027016,50
105,0.076464844,250,0.6,10.25027016,50
106,0.093310547,250,0.7,10.25027016,50
107,0.105859375,250,0.8,10.25027016,50
108,0.128759766,250,0.9,10.25027016,50
109,0.132324219,250,1,10.25027016,50
110,0.012890625,250,0.1,10.25025894,50
111,0.026171875,250,0.2,10.25025894,50
112,0.042480469,250,0.3,10.25025894,50
113,0.054296875,250,0.4,10.25025894,50
114,0.063964844,250,0.5,10.25025894,50
115,0.080566406,250,0.6,10.25025894,50
116,0.091943359,250,0.7,10.25025894,50
