,beta,edge_num,gamma,lamuda10:,lamuda1:,lamuda2:,lamuda3:,lamuda4:,lamuda5:,lamuda6:,lamuda7:,lamuda8:,lamuda9:,node_num
55,0.419824219,20,0.6,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
56,0.502783203,20,0.7,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
57,0.558984375,20,0.8,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
58,0.618310547,20,0.9,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
59,0.706542969,20,1,0.378816981,4.139818136,1.909204485,-2.543954845,-2.291614189,-2,-1.101225247,-0.444115326,1.104915672,0.848154333,10
60,0.068359375,20,0.1,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
61,0.143359375,20,0.2,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
62,0.211230469,20,0.3,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
63,0.300390625,20,0.4,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
64,0.350097656,20,0.5,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
65,0.432128906,20,0.6,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
66,0.488427734,20,0.7,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
67,0.558203125,20,0.8,-0.426157344,4.287725412,-2.786449966,-2.580108369,-1.521414775,1.563937838,1.069270886,0.890905182,0.060195967,-0.55790483,10
